Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1444309200,10/8/2015 13:00,BTCUSD,0,245,0,245,0.60665438
1444312800,10/8/2015 14:00,BTCUSD,245,245,244.5,245,4.453648931
1444316400,10/8/2015 15:00,BTCUSD,245,245,244.92,244.92,3.016925828
1444320000,10/8/2015 16:00,BTCUSD,244.92,244.92,244.25,244.25,3.89525246
1444323600,10/8/2015 17:00,BTCUSD,244.25,244.99,244.02,244.99,3.920632003
1444327200,10/8/2015 18:00,BTCUSD,244.99,244.99,244,244,3.69047209
1444330800,10/8/2015 19:00,BTCUSD,244,244,244,244,1.531455679
1444334400,10/8/2015 20:00,BTCUSD,244,244,243.6,244,0.17704918
1444338000,10/8/2015 21:00,BTCUSD,244,244,243.95,243.95,0.04132231
1444341600,10/8/2015 22:00,BTCUSD,243.95,244,243.8,243.95,4.71303031
1444345200,10/8/2015 23:00,BTCUSD,243.95,243.95,243.72,243.95,5.708259431
1444348800,10/9/2015 0:00,BTCUSD,243.95,243.95,243.6,243.6,3
1444352400,10/9/2015 1:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444356000,10/9/2015 2:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444359600,10/9/2015 3:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444363200,10/9/2015 4:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444366800,10/9/2015 5:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444370400,10/9/2015 6:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444374000,10/9/2015 7:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444377600,10/9/2015 8:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444381200,10/9/2015 9:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444384800,10/9/2015 10:00,BTCUSD,243.6,243.6,243.6,243.6,0
1444388400,10/9/2015 11:00,BTCUSD,243.6,243.75,243.6,243.63,1
1444392000,10/9/2015 12:00,BTCUSD,243.63,243.63,243.63,243.63,0
1444395600,10/9/2015 13:00,BTCUSD,243.63,244,243.63,244,3.973254282
1444399200,10/9/2015 14:00,BTCUSD,244,244,244,244,4.17182852
1444402800,10/9/2015 15:00,BTCUSD,244,244,244,244,0
1444406400,10/9/2015 16:00,BTCUSD,244,244,244,244,0
1444410000,10/9/2015 17:00,BTCUSD,244,244,243.7,243.7,0.229184
1444413600,10/9/2015 18:00,BTCUSD,243.7,243.7,243.7,243.7,0
1444417200,10/9/2015 19:00,BTCUSD,243.7,244.06,243.7,244.06,3.43344122
1444420800,10/9/2015 20:00,BTCUSD,244.06,249.97,244.06,249.97,35.68791657
1444424400,10/9/2015 21:00,BTCUSD,249.97,249.97,244.75,245.39,4.531416175
1444428000,10/9/2015 22:00,BTCUSD,245.39,245.39,245.39,245.39,0
1444431600,10/9/2015 23:00,BTCUSD,245.39,245.39,245.39,245.39,0.0008
1444435200,10/10/2015 0:00,BTCUSD,245.39,245.39,245.39,245.39,0
1444438800,10/10/2015 1:00,BTCUSD,245.39,245.54,245.39,245.54,8.119226772
1444442400,10/10/2015 2:00,BTCUSD,245.54,245.54,245.51,245.51,0.44
1444446000,10/10/2015 3:00,BTCUSD,245.51,245.51,245.51,245.51,0
1444449600,10/10/2015 4:00,BTCUSD,245.51,245.51,244.6,245.45,15.97447591
1444453200,10/10/2015 5:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444456800,10/10/2015 6:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444460400,10/10/2015 7:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444464000,10/10/2015 8:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444467600,10/10/2015 9:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444471200,10/10/2015 10:00,BTCUSD,245.45,245.45,245.45,245.45,0
1444474800,10/10/2015 11:00,BTCUSD,245.45,245.45,244.6,244.6,2.69
1444478400,10/10/2015 12:00,BTCUSD,244.6,244.6,244.6,244.6,0
1444482000,10/10/2015 13:00,BTCUSD,244.6,245.18,244.6,245.18,0.997506234
1444485600,10/10/2015 14:00,BTCUSD,245.18,245.18,245.18,245.18,0
1444489200,10/10/2015 15:00,BTCUSD,245.18,245.4,245,245.37,6.23239377
1444492800,10/10/2015 16:00,BTCUSD,245.37,245.37,245.37,245.37,0.41265196
1444496400,10/10/2015 17:00,BTCUSD,245.37,245.37,245.37,245.37,0
1444500000,10/10/2015 18:00,BTCUSD,245.37,245.37,245.37,245.37,0
1444503600,10/10/2015 19:00,BTCUSD,245.37,245.37,245.37,245.37,0
1444507200,10/10/2015 20:00,BTCUSD,245.37,245.37,245.37,245.37,0
1444510800,10/10/2015 21:00,BTCUSD,245.37,245.75,245.37,245.75,0.07252265
1444514400,10/10/2015 22:00,BTCUSD,245.75,245.75,245.75,245.75,0
1444518000,10/10/2015 23:00,BTCUSD,245.75,246.3,245.75,246.3,4.41
1444521600,10/11/2015 0:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444525200,10/11/2015 1:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444528800,10/11/2015 2:00,BTCUSD,246.3,246.3,246.3,246.3,0.08099878
1444532400,10/11/2015 3:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444536000,10/11/2015 4:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444539600,10/11/2015 5:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444543200,10/11/2015 6:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444546800,10/11/2015 7:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444550400,10/11/2015 8:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444554000,10/11/2015 9:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444557600,10/11/2015 10:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444561200,10/11/2015 11:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444564800,10/11/2015 12:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444568400,10/11/2015 13:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444572000,10/11/2015 14:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444575600,10/11/2015 15:00,BTCUSD,246.3,246.3,246.3,246.3,0
1444579200,10/11/2015 16:00,BTCUSD,246.3,246.5,245.96,246.5,7.32378358
1444582800,10/11/2015 17:00,BTCUSD,246.5,248.24,246.5,248.24,2.597561964
1444586400,10/11/2015 18:00,BTCUSD,248.24,248.24,248.24,248.24,0.401831387
1444590000,10/11/2015 19:00,BTCUSD,248.24,248.24,248.24,248.24,0.24165162
1444593600,10/11/2015 20:00,BTCUSD,248.24,248.24,248.24,248.24,0
1444597200,10/11/2015 21:00,BTCUSD,248.24,248.24,247.77,247.77,0.5953185
1444600800,10/11/2015 22:00,BTCUSD,247.77,248.24,247.77,248.24,2.843825279
1444604400,10/11/2015 23:00,BTCUSD,248.24,249.5,248.24,249.5,0.402811833
1444608000,10/12/2015 0:00,BTCUSD,249.5,249.5,249,249,0.40160642
1444611600,10/12/2015 1:00,BTCUSD,249,249,249,249,0
1444615200,10/12/2015 2:00,BTCUSD,249,249,249,249,0
1444618800,10/12/2015 3:00,BTCUSD,249,249,248.98,248.98,7.9387
1444622400,10/12/2015 4:00,BTCUSD,248.98,248.98,248.71,248.71,0.23
1444626000,10/12/2015 5:00,BTCUSD,248.71,248.71,248.71,248.71,0
1444629600,10/12/2015 6:00,BTCUSD,248.71,248.71,248.71,248.71,0
